SchemaName,ViewName,create_date,modify_date
dbo,vm_mk_salesavg2,2014-02-27 12:07:35.980,2014-02-27 12:20:15.043
dbo,vm_mk_SalesAvg3,2014-02-27 12:41:09.450,2014-02-27 13:41:54.520
dbo,vm_mk_salesAvg5,2014-08-06 10:40:45.347,2014-08-06 10:40:45.347
dbo,vm_mk_SalesAvgConsult,2014-08-07 11:46:03.310,2014-08-08 15:16:18.170
dbo,vm_mk_SalesAvgConsultAll,2014-08-07 14:08:48.497,2014-08-07 14:08:48.497
dbo,vm_mk_salesavgInvoice,2014-08-06 12:09:57.373,2014-08-06 12:11:19.397
dbo,vm_mk_salesAvgNolimit,2014-08-06 10:44:04.513,2014-08-06 12:00:29.853
dbo,vm_mk_SalesBudget,2016-02-16 11:30:53.813,2016-02-17 14:25:14.060
dbo,vm_mk_salesBudgetExp,2016-02-17 12:12:51.610,2016-02-17 14:25:49.783
dbo,vm_mk_salesBudgetNam,2016-02-17 11:50:26.130,2016-02-17 14:26:07.500
dbo,vm_mk_SalesBudNam,2016-02-17 11:59:18.603,2016-02-17 11:59:18.603
dbo,vm_mk_SalesDash,2014-05-15 09:52:11.133,2014-05-15 13:44:18.137
dbo,vm_mk_SalesOL,2016-02-16 11:40:00.803,2016-02-16 12:14:23.390
dbo,vm_mk_SalesOl_Prov,2016-02-17 07:53:00.980,2016-02-17 11:03:09.113
dbo,vm_mk_SAlesOrderTrans,2014-12-09 08:35:21.017,2019-06-25 13:50:33.890
dbo,vm_mk_ShopVouchExp,2023-07-05 11:20:25.387,2023-07-05 11:20:25.387
dbo,VM_MK_SOH,2014-01-13 13:19:36.960,2014-01-13 13:19:57.920
dbo,vm_mk_soh_daily,2013-12-23 07:44:33.173,2013-12-23 10:12:49.720
dbo,vm_mk_sohwhsbin,2014-03-03 15:49:39.037,2014-03-03 16:17:35.563
dbo,vm_mk_soppr,2014-08-04 14:32:39.943,2019-04-02 16:42:44.420
dbo,vm_mk_soppr_complevel_spon,2021-09-14 14:23:54.930,2021-09-14 14:23:54.930
dbo,vm_mk_soppr_new,2017-04-18 10:00:42.847,2018-08-31 07:39:52.963
dbo,vm_mk_soppr1,2015-03-16 09:17:49.960,2015-03-16 11:52:49.263
